batch,level,missing_mode,missing_rate,missing_rate_pct,imputation_method,config_type,mae,rmse,r2,seed,architecture
3C,level_4,MNAR,0.35,35.0,knn,baseline,0.0565211502677159,0.0699468293006234,0.1396847177875665,9,cnn
3C,level_4,MNAR,0.4,40.0,knn,baseline,0.0573598295250119,0.0680379644569601,0.1860003909435167,9,cnn
3C,level_4,MNAR,0.45,45.0,knn,baseline,0.0571316741014485,0.0682470918465035,0.1809887410229098,9,cnn
3C,level_4,MNAR,0.5,50.0,knn,baseline,0.0560205819105143,0.0677732575209545,0.1923219259929768,9,cnn
3C,level_4,MNAR,0.55,55.00000000000001,knn,baseline,0.0545255999215669,0.0664729303623612,0.2230175288793388,9,cnn
3C,level_4,MNAR,0.6000000000000001,60.00000000000001,knn,baseline,0.0563717829036938,0.0676417408967267,0.1954535455322926,9,cnn
3C,level_4,MNAR,0.65,65.0,knn,baseline,0.0568529887616493,0.0698278942134335,0.1426079290915253,9,cnn
3C,level_4,MNAR,0.7000000000000001,70.0,knn,baseline,0.0574379014416507,0.0698521870770882,0.1420112583199926,9,cnn
3C,level_4,MNAR,0.75,75.0,knn,baseline,0.0568996888537215,0.0688817158236277,0.1656860873830165,9,cnn
3C,level_4,MNAR,0.8,80.0,knn,baseline,0.0572890974635491,0.0696966138030952,0.1458287902015841,9,cnn
3C,level_4,MNAR,0.8500000000000001,85.00000000000001,knn,baseline,0.0572165585409664,0.0679515735362228,0.1880662237656153,9,cnn
3C,level_4,MNAR,0.9,90.0,knn,baseline,0.0574025016710267,0.0692860365415947,0.1558628585559812,9,cnn
3C,level_4,MNAR,0.95,95.0,knn,baseline,0.0577518342392382,0.0699295105791696,0.1401106903821939,9,cnn
3C,level_4,MCAR,0.0,0.0,knn,baseline,0.0681073111558744,0.0771588410753158,-0.0464293819875534,6,cnn
3C,level_4,MCAR,0.05,5.0,knn,baseline,0.068538165145077,0.0775247339751896,-0.0563774035198831,6,cnn
3C,level_4,MCAR,0.1,10.0,knn,baseline,0.0692585229526663,0.0781786197809394,-0.074272679921552,6,cnn
3C,level_4,MCAR,0.15,15.0,knn,baseline,0.0677923668192026,0.0766805570808776,-0.0334966000942684,6,cnn
3C,level_4,MCAR,0.2,20.0,knn,baseline,0.0668031906667449,0.0761325913017076,-0.0187784680659752,6,cnn
3C,level_4,MCAR,0.25,25.0,knn,baseline,0.0690988130871678,0.0774128162115334,-0.053329548940973,6,cnn
3C,level_4,MCAR,0.3,30.0,knn,baseline,0.0686346303957728,0.0782417464013962,-0.076008258860577,6,cnn
3C,level_4,MCAR,0.35,35.0,knn,baseline,0.0687168056864134,0.0780812940566365,-0.0715995888303218,6,cnn
3C,level_4,MCAR,0.4,40.0,knn,baseline,0.070058665266619,0.0790532329189522,-0.0984437046253481,6,cnn
3C,level_4,MCAR,0.45,45.0,knn,baseline,0.0685504492873877,0.0779164286513912,-0.067079090361573,6,cnn
3C,level_4,MCAR,0.5,50.0,knn,baseline,0.0669918086819805,0.0758105178043997,-0.0101769613735303,6,cnn
3C,level_4,MCAR,0.55,55.00000000000001,knn,baseline,0.0679429401623811,0.0771465907240037,-0.0460971294617065,6,cnn
3C,level_4,MCAR,0.6000000000000001,60.00000000000001,knn,baseline,0.0685155783315219,0.077603228322413,-0.0585176658291715,6,cnn
3C,level_4,MCAR,0.65,65.0,knn,baseline,0.0676244487784837,0.0765177621540024,-0.0291129750327869,6,cnn
3C,level_4,MCAR,0.7000000000000001,70.0,knn,baseline,0.0674046847473287,0.0771535400772693,-0.0462856024936642,6,cnn
3C,level_4,MCAR,0.75,75.0,knn,baseline,0.0708065289757061,0.0821322996859629,-0.1856772851358104,6,cnn
3C,level_4,MCAR,0.8,80.0,knn,baseline,0.0692762974696539,0.0822185878094796,-0.1881699369123195,6,cnn
3C,level_4,MCAR,0.8500000000000001,85.00000000000001,knn,baseline,0.0763146767717012,0.092199512640559,-0.4941554538747585,6,cnn
3C,level_4,MCAR,0.9,90.0,knn,baseline,0.1045084577457445,0.1231894842473526,-1.6673856322226437,6,cnn
3C,level_4,MCAR,0.95,95.0,knn,baseline,0.1684331804351627,0.1920735477788776,-5.484457529087651,6,cnn
3C,level_4,MAR,0.0,0.0,knn,baseline,0.0681073111558744,0.0771588410753158,-0.0464293819875534,6,cnn
3C,level_4,MAR,0.05,5.0,knn,baseline,0.0681395133504285,0.0770668084995932,-0.0439345763400329,6,cnn
3C,level_4,MAR,0.1,10.0,knn,baseline,0.0684793097502748,0.0774032625372635,-0.0530695778678662,6,cnn
3C,level_4,MAR,0.15,15.0,knn,baseline,0.0684410548142984,0.0772933710144984,-0.0500815572637851,6,cnn
3C,level_4,MAR,0.2,20.0,knn,baseline,0.0690329839601203,0.0784828540499697,-0.0826500726035397,6,cnn
3C,level_4,MAR,0.25,25.0,knn,baseline,0.0690697650707943,0.0782230891601536,-0.0754951580405931,6,cnn
3C,level_4,MAR,0.3,30.0,knn,baseline,0.0685418771052024,0.0779013440324137,-0.0666659573770054,6,cnn
3C,level_4,MAR,0.35,35.0,knn,baseline,0.0682370877635311,0.0769696143484774,-0.0413030841274153,6,cnn
3C,level_4,MAR,0.4,40.0,knn,baseline,0.0672162949344921,0.0759111506819376,-0.0128606123626147,6,cnn
3C,level_4,MAR,0.45,45.0,knn,baseline,0.0678085745041359,0.0776308684644656,-0.0592718300477195,6,cnn
3C,level_4,MAR,0.5,50.0,knn,baseline,0.0677775783001537,0.0766336884068357,-0.0322335990468969,6,cnn
3C,level_4,MAR,0.55,55.00000000000001,knn,baseline,0.0700044883013891,0.0803447826483884,-0.1346290378783068,6,cnn
3C,level_4,MAR,0.6000000000000001,60.00000000000001,knn,baseline,0.0704828333227847,0.0812682300147399,-0.1608607722983137,6,cnn
3C,level_4,MAR,0.65,65.0,knn,baseline,0.070519548144139,0.082112698269109,-0.1851114132071005,6,cnn
