batch,level,missing_mode,missing_rate,missing_rate_pct,imputation_method,config_type,mae,rmse,r2,seed,architecture,param_count
3C,level_4,MAR,0.8,80.0,mean,baseline,0.1974913054597056,0.2319562944294413,-7.280585170236705,7,cnn,36185
3C,level_4,MAR,0.8,80.0,iterative,baseline,0.2097578200511329,0.3049114855797195,-13.308571302748192,7,cnn,36185
3C,level_4,MAR,0.8500000000000001,85.00000000000001,zero,baseline,0.1872469869526441,0.2242409952727797,-6.73889098312516,7,cnn,36185
3C,level_4,MAR,0.8500000000000001,85.00000000000001,mean,baseline,0.2120674297493759,0.2512417495186865,-8.714765505275647,7,cnn,36185
3C,level_4,MAR,0.8500000000000001,85.00000000000001,iterative,baseline,0.2228323643193575,0.3010989976120793,-12.952991305000964,7,cnn,36185
3C,level_4,MAR,0.9,90.0,zero,baseline,0.2076642204544049,0.2419926315581182,-8.012660023011398,7,cnn,36185
3C,level_4,MAR,0.9,90.0,mean,baseline,0.2278046501065753,0.2627371276887219,-9.624086542372243,7,cnn,36185
3C,level_4,MAR,0.9,90.0,iterative,baseline,0.217030542551423,0.2752497683498268,-10.660109488370926,7,cnn,36185
3C,level_4,MAR,0.95,95.0,zero,baseline,0.2251871751011605,0.25840939357479,-9.276974949788563,7,cnn,36185
3C,level_4,MAR,0.95,95.0,mean,baseline,0.2346373555998449,0.2728893609221295,-10.460984170376774,7,cnn,36185
3C,level_4,MAR,0.95,95.0,iterative,baseline,0.2435107939956056,0.3158047169423651,-14.349206507084956,7,cnn,36185
3C,level_4,MNAR,0.0,0.0,zero,baseline,0.0588786131432858,0.0860346106798931,-0.1391872084466836,7,cnn,36185
3C,level_4,MNAR,0.0,0.0,mean,baseline,0.0588786131432858,0.0860346106798931,-0.1391872084466836,7,cnn,36185
3C,level_4,MNAR,0.0,0.0,iterative,baseline,0.0588786131432858,0.0860346106798931,-0.1391872084466836,7,cnn,36185
3C,level_4,MNAR,0.05,5.0,zero,baseline,0.0780964983138501,0.1122410735110014,-0.9388862364686954,7,cnn,36185
3C,level_4,MNAR,0.05,5.0,mean,baseline,0.0820391504113308,0.1384687136648921,-1.950883198723184,7,cnn,36185
3C,level_4,MNAR,0.05,5.0,iterative,baseline,0.0672485997411318,0.1041241061771269,-0.6685963025584134,7,cnn,36185
3C,level_4,MNAR,0.1,10.0,zero,baseline,0.112285647957993,0.1680255137349002,-3.345093917851396,7,cnn,36185
3C,level_4,MNAR,0.1,10.0,mean,baseline,0.1105919448745208,0.1668883023304333,-3.286477000643104,7,cnn,36185
3C,level_4,MNAR,0.1,10.0,iterative,baseline,0.0875871074694402,0.1354874214060202,-1.825183485398206,7,cnn,36185
3C,level_4,MNAR,0.15,15.0,zero,baseline,0.1169649088189861,0.1781373550842401,-3.8838093699398746,7,cnn,36185
3C,level_4,MNAR,0.15,15.0,mean,baseline,0.1254263191927499,0.1899164925120595,-4.551036282291284,7,cnn,36185
3C,level_4,MNAR,0.15,15.0,iterative,baseline,0.1018698463328139,0.1698967165298693,-3.442410382768606,7,cnn,36185
3C,level_4,MNAR,0.2,20.0,zero,baseline,0.1455417689718087,0.230011069132609,-7.142282709246311,7,cnn,36185
3C,level_4,MNAR,0.2,20.0,mean,baseline,0.1400185700189606,0.2209995156855452,-6.516771493093797,7,cnn,36185
3C,level_4,MNAR,0.2,20.0,iterative,baseline,0.1600629573075181,0.2600317823584298,-9.406425269201748,7,cnn,36185
3C,level_4,MNAR,0.25,25.0,zero,baseline,0.1613141558815977,0.2476536792778426,-8.439267051870345,7,cnn,36185
3C,level_4,MNAR,0.25,25.0,mean,baseline,0.1561516183604948,0.2486698415716438,-8.516887587781044,7,cnn,36185
3C,level_4,MNAR,0.25,25.0,iterative,baseline,0.1907201319791787,0.2927395833101935,-12.188991999497327,7,cnn,36185
3C,level_4,MNAR,0.3,30.0,zero,baseline,0.1843847917666329,0.3008259473213708,-12.927696362930853,7,cnn,36185
3C,level_4,MNAR,0.3,30.0,mean,baseline,0.1705646129386785,0.2477886815838509,-8.449561024934686,7,cnn,36185
3C,level_4,MNAR,0.3,30.0,iterative,baseline,0.2573092075473119,0.3956361910779569,-23.090217906953683,7,cnn,36185
3C,level_4,MNAR,0.35,35.0,zero,baseline,0.1852523588088864,0.2790848157458848,-10.987293003673274,7,cnn,36185
3C,level_4,MNAR,0.35,35.0,mean,baseline,0.1802902780154945,0.289087657465595,-11.861979234915708,7,cnn,36185
3C,level_4,MNAR,0.35,35.0,iterative,baseline,0.2659654531355899,0.4010587360100358,-23.75509889600785,7,cnn,36185
3C,level_4,MNAR,0.4,40.0,zero,baseline,0.205642194056986,0.3080830066807722,-13.607779082720878,7,cnn,36185
3C,level_4,MNAR,0.4,40.0,mean,baseline,0.1859348937310758,0.2695657927002285,-10.183513462832726,7,cnn,36185
